Source Barcode,Destination Barcode,Qpix Source Well,Human Source Well,Destination Well
Auto6383323922827121923,Auto6383324009004391294,A1,H1,A1
Auto6383323922827121923,Auto6383324009004391294,A1,H1,B1
Auto6383323922827121923,Auto6383324009004391294,A1,H1,C1
Auto6383323922827121923,Auto6383324009004391294,A1,H1,D1
Auto6383323922827121923,Auto6383324009004391294,A2,G1,E1
Auto6383323922827121923,Auto6383324009004391294,A2,G1,F1
Auto6383323922827121923,Auto6383324009004391294,A2,G1,G1
Auto6383323922827121923,Auto6383324009004391294,A2,G1,H1
Auto6383323922827121923,Auto6383324009004391294,A3,F1,A2
Auto6383323922827121923,Auto6383324009004391294,A3,F1,B2
Auto6383323922827121923,Auto6383324009004391294,A3,F1,C2
Auto6383323922827121923,Auto6383324009004391294,A3,F1,D2
Auto6383323922827121923,Auto6383324009004391294,A4,E1,E2
Auto6383323922827121923,Auto6383324009004391294,A4,E1,F2
Auto6383323922827121923,Auto6383324009004391294,A4,E1,G2
Auto6383323922827121923,Auto6383324009004391294,A4,E1,H2
Auto6383323922827121923,Auto6383324009004391294,A5,D1,A3
Auto6383323922827121923,Auto6383324009004391294,A5,D1,B3
Auto6383323922827121923,Auto6383324009004391294,A5,D1,C3
Auto6383323922827121923,Auto6383324009004391294,A5,D1,D3
Auto6383323922827121923,Auto6383324009004391294,A6,C1,E3
Auto6383323922827121923,Auto6383324009004391294,A6,C1,F3
Auto6383323922827121923,Auto6383324009004391294,A6,C1,G3
Auto6383323922827121923,Auto6383324009004391294,A6,C1,H3
Auto6383323922827121923,Auto6383324009004391294,A7,B1,A4
Auto6383323922827121923,Auto6383324009004391294,A7,B1,B4
Auto6383323922827121923,Auto6383324009004391294,A7,B1,C4
Auto6383323922827121923,Auto6383324009004391294,A7,B1,D4
Auto6383323922827121923,Auto6383324009004391294,A8,A1,E4
Auto6383323922827121923,Auto6383324009004391294,A8,A1,F4
Auto6383323922827121923,Auto6383324009004391294,A8,A1,G4
Auto6383323922827121923,Auto6383324009004391294,A8,A1,H4
Auto6383323922827121923,Auto6383324009004391294,B2,G2,A5
Auto6383323922827121923,Auto6383324009004391294,B2,G2,B5
Auto6383323922827121923,Auto6383324009004391294,B2,G2,C5
Auto6383323922827121923,Auto6383324009004391294,B2,G2,D5
Auto6383323922827121923,Auto6383324009004391294,B3,F2,E5
Auto6383323922827121923,Auto6383324009004391294,B3,F2,F5
Auto6383323922827121923,Auto6383324009004391294,B3,F2,G5
Auto6383323922827121923,Auto6383324009004391294,B3,F2,H5
Auto6383323922827121923,Auto6383324009004391294,B4,E2,A6
Auto6383323922827121923,Auto6383324009004391294,B4,E2,B6
Auto6383323922827121923,Auto6383324009004391294,B4,E2,C6
Auto6383323922827121923,Auto6383324009004391294,B4,E2,D6
Auto6383323922827121923,Auto6383324009004391294,B5,D2,E6
Auto6383323922827121923,Auto6383324009004391294,B5,D2,F6
Auto6383323922827121923,Auto6383324009004391294,B5,D2,G6
Auto6383323922827121923,Auto6383324009004391294,B5,D2,H6
Auto6383323922827121923,Auto6383324009004391294,B6,C2,A7
Auto6383323922827121923,Auto6383324009004391294,B6,C2,B7
Auto6383323922827121923,Auto6383324009004391294,B6,C2,C7
Auto6383323922827121923,Auto6383324009004391294,B6,C2,D7
Auto6383323922827121923,Auto6383324009004391294,B7,B2,E7
Auto6383323922827121923,Auto6383324009004391294,B7,B2,F7
Auto6383323922827121923,Auto6383324009004391294,B7,B2,G7
Auto6383323922827121923,Auto6383324009004391294,B7,B2,H7
Auto6383323922827121923,Auto6383324009004391294,B8,A2,A8
Auto6383323922827121923,Auto6383324009004391294,B8,A2,B8
Auto6383323922827121923,Auto6383324009004391294,B8,A2,C8
Auto6383323922827121923,Auto6383324009004391294,B8,A2,D8
Auto6383323922827121923,Auto6383324009004391294,C2,G3,E8
Auto6383323922827121923,Auto6383324009004391294,C2,G3,F8
Auto6383323922827121923,Auto6383324009004391294,C2,G3,G8
Auto6383323922827121923,Auto6383324009004391294,C2,G3,H8
Auto6383323922827121923,Auto6383324009004391294,C3,F3,A9
Auto6383323922827121923,Auto6383324009004391294,C3,F3,B9
Auto6383323922827121923,Auto6383324009004391294,C3,F3,C9
Auto6383323922827121923,Auto6383324009004391294,C3,F3,D9
Auto6383323922827121923,Auto6383324009004391294,C4,E3,E9
Auto6383323922827121923,Auto6383324009004391294,C5,D3,F9
Auto6383323922827121923,Auto6383324009004391294,C5,D3,G9
Auto6383323922827121923,Auto6383324009004391294,C5,D3,H9
Auto6383323922827121923,Auto6383324009004391294,C5,D3,A10
Auto6383323922827121923,Auto6383324009004391294,C6,C3,B10
Auto6383323922827121923,Auto6383324009004391294,C6,C3,C10
Auto6383323922827121923,Auto6383324009004391294,C6,C3,D10
Auto6383323922827121923,Auto6383324009004391294,C6,C3,E10
Auto6383323922827121923,Auto6383324009004391294,C7,B3,F10
Auto6383323922827121923,Auto6383324009004391294,C7,B3,G10
Auto6383323922827121923,Auto6383324009004391294,C7,B3,H10
Auto6383323922827121923,Auto6383324009004391294,C7,B3,A11
Auto6383323922827121923,Auto6383324009004391294,C8,A3,B11
Auto6383323922827121923,Auto6383324009004391294,C8,A3,C11
Auto6383323922827121923,Auto6383324009004391294,C8,A3,D11
Auto6383323922827121923,Auto6383324009004391294,C8,A3,E11
Auto6383323922827121923,Auto6383324009004391294,D3,F4,F11
Auto6383323922827121923,Auto6383324009004391294,D3,F4,G11
Auto6383323922827121923,Auto6383324009004391294,D3,F4,H11
Auto6383323922827121923,Auto6383324009004391294,D3,F4,A12
Auto6383323922827121923,Auto6383324009004391294,D4,E4,B12
Auto6383323922827121923,Auto6383324009004391294,D4,E4,C12
Auto6383323922827121923,Auto6383324009004391294,D4,E4,D12
Auto6383323922827121923,Auto6383324009004391294,D4,E4,E12
Auto6383323922827121923,Auto6383324009004391294,D5,D4,F12
Auto6383323922827121923,Auto6383324009004391294,D5,D4,G12
Auto6383323922827121923,Auto6383324009004391295,D5,D4,A1
Auto6383323922827121923,Auto6383324009004391295,D5,D4,B1
Auto6383323922827121923,Auto6383324009004391295,D6,C4,C1
Auto6383323922827121923,Auto6383324009004391295,D6,C4,D1
Auto6383323922827121923,Auto6383324009004391295,D6,C4,E1
Auto6383323922827121923,Auto6383324009004391295,D6,C4,F1
Auto6383323922827121923,Auto6383324009004391295,D7,B4,G1
Auto6383323922827121923,Auto6383324009004391295,D7,B4,H1
Auto6383323922827121923,Auto6383324009004391295,D7,B4,A2
Auto6383323922827121923,Auto6383324009004391295,D7,B4,B2
Auto6383323922827121923,Auto6383324009004391295,D8,A4,C2
Auto6383323922827121923,Auto6383324009004391295,D8,A4,D2
Auto6383323922827121923,Auto6383324009004391295,D8,A4,E2
Auto6383323922827121923,Auto6383324009004391295,D8,A4,F2